ROWNUM,project_id,+PRIVILEGES,object_id,channelsPerSubband,channelWidth,frequencyDownsamplingFactor,numberOfCollapsedChannels,numberOfStations,processingType,rawSamplingTime,samplingTime,stokesStr,timeDownsamplingFactor,OBJECT_ID$
1,402693,4,D754A288663D506AE043C616A9C3651C,0,0.0,0,0,27,"Coherent Stokes",3.2768e-07,3.997696e-05,"I",122,CoherentStokes
2,402693,4,D754A2886642506AE043C616A9C3651C,0,0.0,0,0,27,"Coherent Stokes",3.2768e-07,3.997696e-05,"I",122,CoherentStokes
3,402689,4,D96FA5442CE16543E043C616A9C3593C,256,0.000763,0,0,24,"Coherent Stokes",1.31072e-06,0.000131072,"I,Q,U,V",100,CoherentStokes
4,402843,4,DC359777B94F0D45E043C616A9C38141,16,0.012207,0,0,23,"Coherent Stokes",8.192e-08,8.192e-08,"I",1,CoherentStokes
5,402843,4,DC362FB0FD571257E043C616A9C32AD5,16,0.012207,0,0,23,"Coherent Stokes",8.192e-08,8.192e-08,"I",1,CoherentStokes
6,402843,4,DC36328157D81283E043C616A9C3F932,16,0.012207,0,0,23,"Coherent Stokes",8.192e-08,8.192e-08,"I",1,CoherentStokes
7,402843,4,DC9D5BAC74A30A48E043C616A9C34198,64,0.003052,0,0,23,"Coherent Stokes",3.2768e-07,3.2768e-07,"I",1,CoherentStokes
8,402865,4,DDC5381E0DB16589E043C616A9C3007F,1,0.195312,0,0,14,"Coherent Stokes",5.12e-09,5.12e-09,"XX,YY",1,CoherentStokes
9,402865,4,DDDB1CF534921C77E043C616A9C39B93,1,0.195312,0,0,14,"Coherent Stokes",5.12e-09,5.12e-09,"XX,YY",1,CoherentStokes
10,402877,4,E00F9C723335410EE043C616A9C3AE88,16,0.012207,0,0,22,"Coherent Stokes",8.192e-08,6.5536e-07,"I",8,CoherentStokes
11,402888,4,E0885443AB7B544AE043C616A9C37E31,1,0.195312,0,0,22,"Coherent Stokes",5.12e-09,5.12e-09,"XX,YY",1,CoherentStokes
12,402859,4,E1E1BAA952C25D30E043C616A9C365EF,256,0.000763,0,0,6,"Coherent Stokes",1.31072e-06,1.048576e-05,"I",8,CoherentStokes
13,402859,4,E1E1BAA952C65D30E043C616A9C365EF,256,0.000763,0,0,6,"Coherent Stokes",1.31072e-06,1.048576e-05,"I",8,CoherentStokes
14,402859,4,E1E1BAA952CA5D30E043C616A9C365EF,256,0.000763,0,0,6,"Coherent Stokes",1.31072e-06,1.048576e-05,"I",8,CoherentStokes
15,402859,4,E224B659BB4A3929E043C616A9C33BA1,256,0.000763,0,0,6,"Coherent Stokes",1.31072e-06,2.097152e-05,"I",16,CoherentStokes
16,402859,4,E224B659BB4E3929E043C616A9C33BA1,256,0.000763,0,0,6,"Coherent Stokes",1.31072e-06,2.097152e-05,"I",16,CoherentStokes
17,402859,4,E224B659BB523929E043C616A9C33BA1,256,0.000763,0,0,6,"Coherent Stokes",1.31072e-06,2.097152e-05,"I",16,CoherentStokes
18,402859,4,E3F873A190860483E043C616A9C3185B,256,0.000763,0,0,6,"Coherent Stokes",1.31072e-06,2.097152e-05,"I",16,CoherentStokes
19,402859,4,E3F873A190890483E043C616A9C3185B,256,0.000763,0,0,6,"Coherent Stokes",1.31072e-06,2.097152e-05,"I",16,CoherentStokes
20,402859,4,E3F873A1908C0483E043C616A9C3185B,256,0.000763,0,0,6,"Coherent Stokes",1.31072e-06,2.097152e-05,"I",16,CoherentStokes
21,402859,4,E3F873A1908F0483E043C616A9C3185B,256,0.000763,0,0,6,"Coherent Stokes",1.31072e-06,2.097152e-05,"I",16,CoherentStokes
22,402896,4,E44B9D150D77360FE043C616A9C3624F,1,0.195312,0,0,24,"Coherent Stokes",5.12e-09,5.12e-09,"XX,YY",1,CoherentStokes
23,402896,4,E44EE84654BF57AAE043C616A9C38BDE,1,0.195312,0,0,24,"Coherent Stokes",5.12e-09,5.12e-09,"XX,YY",1,CoherentStokes
24,402896,4,E44FD807712A6195E043C616A9C37302,1,0.195312,0,0,24,"Coherent Stokes",5.12e-09,5.12e-09,"XX,YY",1,CoherentStokes
25,402896,4,E4505FFD354E67D1E043C616A9C396D5,1,0.195312,0,0,24,"Coherent Stokes",5.12e-09,5.12e-09,"XX,YY",1,CoherentStokes
