ROWNUM,project_id,+PRIVILEGES,object_id,beamNumber,channelsPerSubband,channelWidth,dispersionMeasure,numberOfSubbands,samplingTime,stokesStr,subArrayPointingIdentifier,subArrayPointingIdentifierName,subArrayPointingIdentifierSour,OBJECT_ID$
1,402693,4,D754CD1BADED5644E043C616A9C3A9DC,0,64,3051.757812,0.0,13,3.9977e-05,"I",217441,"Sun","MoM",CoherentStokesBeam
2,402689,4,D96FA5442CE66543E043C616A9C3593C,0,256,762.939453,0.0,244,0.000131072,"I",216121,"YZ CMi","MoM",CoherentStokesBeam
3,402689,4,D96FA5FCD43E654EE043C616A9C3CDAD,0,256,762.939453,0.0,244,0.000131072,"U",216121,"YZ CMi","MoM",CoherentStokesBeam
4,402689,4,D96FA6840B086556E043C616A9C3AE62,0,256,762.939453,0.0,244,0.000131072,"V",216121,"YZ CMi","MoM",CoherentStokesBeam
5,402689,4,D96FA6D103526560E043C616A9C37D6F,1,256,762.939453,0.0,244,0.000131072,"U",216121,"YZ CMi","MoM",CoherentStokesBeam
6,402689,4,D96FA6F66C81656CE043C616A9C35827,1,256,762.939453,0.0,244,0.000131072,"V",216121,"YZ CMi","MoM",CoherentStokesBeam
7,402689,4,D96FAAB4D3B4659EE043C616A9C37F58,1,256,762.939453,0.0,244,0.000131072,"Q",216121,"YZ CMi","MoM",CoherentStokesBeam
8,402689,4,D96FB6AB9D156698E043C616A9C33C8F,0,256,762.939453,0.0,244,0.000131072,"Q",216121,"YZ CMi","MoM",CoherentStokesBeam
9,402689,4,D96FE62F29386C69E043C616A9C37684,1,256,762.939453,0.0,244,0.000131072,"I",216121,"YZ CMi","MoM",CoherentStokesBeam
10,402843,4,DC359777B9540D45E043C616A9C38141,0,16,12207.03125,0.0,100,8.2e-08,"I",240059,"B1920+21","MoM",CoherentStokesBeam
11,402843,4,DC362FB0FD5C1257E043C616A9C32AD5,0,16,12207.03125,0.0,100,8.2e-08,"I",240061,"B2000+40","MoM",CoherentStokesBeam
12,402843,4,DC362FF0BC30125DE043C616A9C37CCD,0,16,12207.03125,0.0,100,8.2e-08,"I",240061,"B2000+40","MoM",CoherentStokesBeam
13,402843,4,DC36308580FB1263E043C616A9C34E59,0,16,12207.03125,0.0,100,8.2e-08,"I",240061,"B2000+40","MoM",CoherentStokesBeam
14,402843,4,DC3631F91BCD1276E043C616A9C3E17A,0,16,12207.03125,0.0,100,8.2e-08,"I",240061,"B2000+40","MoM",CoherentStokesBeam
15,402843,4,DC36328157DD1283E043C616A9C3F932,0,16,12207.03125,0.0,100,8.2e-08,"I",240063,"B2111+46","MoM",CoherentStokesBeam
16,402843,4,DC363337B2D31290E043C616A9C3B952,0,16,12207.03125,0.0,100,8.2e-08,"I",240063,"B2111+46","MoM",CoherentStokesBeam
17,402843,4,DC3633534E871294E043C616A9C3A28A,0,16,12207.03125,0.0,100,8.2e-08,"I",240063,"B2111+46","MoM",CoherentStokesBeam
18,402843,4,DC36337A80A4129AE043C616A9C3FC6C,0,16,12207.03125,0.0,100,8.2e-08,"I",240063,"B2111+46","MoM",CoherentStokesBeam
19,402843,4,DC9D5EC321140AEBE043C616A9C388FE,0,64,3051.757812,0.0,50,3.28e-07,"I",256004,"B1920+21","MoM",CoherentStokesBeam
20,402843,4,DC9D5FE9E5E40B2CE043C616A9C311C4,0,64,3051.757812,0.0,50,3.28e-07,"I",256004,"B1920+21","MoM",CoherentStokesBeam
21,402843,4,DC9D5FF3361C0B30E043C616A9C3A175,0,64,3051.757812,0.0,50,3.28e-07,"I",256004,"B1920+21","MoM",CoherentStokesBeam
22,402843,4,DC9D67C68EF50CD3E043C616A9C32964,0,64,3051.757812,0.0,50,3.28e-07,"I",256004,"B1920+21","MoM",CoherentStokesBeam
23,402877,4,E00F9C72333A410EE043C616A9C3AE88,7,16,12207.03125,0.0,400,6.55e-07,"I",276442,"J0943+41","MoM",CoherentStokesBeam
24,402877,4,E00F9C90B9A84114E043C616A9C3ACF3,18,16,12207.03125,0.0,400,6.55e-07,"I",276442,"J0943+41","MoM",CoherentStokesBeam
25,402877,4,E00F9C96FD564116E043C616A9C3D249,16,16,12207.03125,0.0,400,6.55e-07,"I",276442,"J0943+41","MoM",CoherentStokesBeam
