ROWNUM,project_id,+PRIVILEGES,object_id,centralFrequency,channelsPerSubband,channelWidth,creationDate,dataProductIdentifier,dataProductIdentifierName,dataProductIdentifierSource,dataProductType,duration,endTime,fileFormat,filename,globalname,integrationInterval,isDirty,isValid,maximumFrequency,minimumFrequency,processIdentifier,processIdentifierName,processIdentifierSource,releaseDate,startTime,stationSubband,storageWriter,storageWriterVersion,subArrayPointingIdentifier,subArrayPointingIdentifierName,subArrayPointingIdentifierSour,subband,OBJECT_ID$
1,402541,4,D41672D1FC280DB2E043C616A9C37221,123.046875,64,3051.7578125,2013-01-25 05:34:09,3803742,"L85441_SAP000_SB022_uv.MS","MoM","Correlator data",18000.0,2013-01-23 23:30:01,"AIPS++/CASA","L85441_SAP000_SB022_uv.MS_e7aa7623.tar",,2.0,0,1,123.14453125,122.94921875,198318,"Moon_2013-01-23","MoM",2015-03-01 00:00:00,2013-01-23 18:30:01,118,"LofarStorageManager","2",198319,"Moon","MoM",22,CorrelatedDataProduct
2,402541,4,D41672E5B1F30DB5E043C616A9C3856C,124.609375,64,3051.7578125,2013-01-25 05:34:11,3803746,"L85441_SAP000_SB026_uv.MS","MoM","Correlator data",18000.0,2013-01-23 23:30:01,"AIPS++/CASA","L85441_SAP000_SB026_uv.MS_497b03a6.tar",,2.0,0,1,124.70703125,124.51171875,198318,"Moon_2013-01-23","MoM",2015-03-01 00:00:00,2013-01-23 18:30:01,126,"LofarStorageManager","2",198319,"Moon","MoM",26,CorrelatedDataProduct
3,402541,4,D41673C70FBF0DBDE043C616A9C3019A,117.1875,64,3051.7578125,2013-01-25 05:34:25,3803727,"L85441_SAP000_SB007_uv.MS","MoM","Correlator data",18000.0,2013-01-23 23:30:01,"AIPS++/CASA","L85441_SAP000_SB007_uv.MS_9a921f0c.tar",,2.0,0,1,117.28515625,117.08984375,198318,"Moon_2013-01-23","MoM",2015-03-01 00:00:00,2013-01-23 18:30:01,88,"LofarStorageManager","2",198319,"Moon","MoM",7,CorrelatedDataProduct
4,402541,4,D416C2553643107BE043C616A9C374A2,126.5625,64,3051.7578125,2013-01-25 05:56:23,3803751,"L85441_SAP000_SB031_uv.MS","MoM","Correlator data",18000.0,2013-01-23 23:30:01,"AIPS++/CASA","L85441_SAP000_SB031_uv.MS_8c79022b.tar",,2.0,0,1,126.66015625,126.46484375,198318,"Moon_2013-01-23","MoM",2015-03-01 00:00:00,2013-01-23 18:30:01,136,"LofarStorageManager","2",198319,"Moon","MoM",31,CorrelatedDataProduct
5,402541,4,D416C8030EC110B0E043C616A9C3B22E,129.296875,64,3051.7578125,2013-01-25 05:57:59,3803758,"L85441_SAP000_SB038_uv.MS","MoM","Correlator data",18000.0,2013-01-23 23:30:01,"AIPS++/CASA","L85441_SAP000_SB038_uv.MS_7e57ba06.tar",,2.0,0,1,129.39453125,129.19921875,198318,"Moon_2013-01-23","MoM",2015-03-01 00:00:00,2013-01-23 18:30:01,150,"LofarStorageManager","2",198319,"Moon","MoM",38,CorrelatedDataProduct
6,402541,4,D416C9AF6B4D10B8E043C616A9C3946C,120.3125,64,3051.7578125,2013-01-25 05:58:27,3803735,"L85441_SAP000_SB015_uv.MS","MoM","Correlator data",18000.0,2013-01-23 23:30:01,"AIPS++/CASA","L85441_SAP000_SB015_uv.MS_9f69e79d.tar",,2.0,0,1,120.41015625,120.21484375,198318,"Moon_2013-01-23","MoM",2015-03-01 00:00:00,2013-01-23 18:30:01,104,"LofarStorageManager","2",198319,"Moon","MoM",15,CorrelatedDataProduct
7,402545,4,D41D889589C750A3E043C616A9C30879,39.0625,64,3051.7578125,2013-01-25 14:01:19,3808566,"L85569_SAP000_SB023_uv.MS","MoM","Correlator data",21600.0,2013-01-25 03:37:12,"AIPS++/CASA","L85569_SAP000_SB023_uv.MS_5616f1f8.tar",,1.0,0,1,39.16015625,38.96484375,198667,"Target Obs. 1","MoM",2015-03-01 00:00:00,2013-01-24 21:37:12,200,"LofarStorageManager","2",198668,"HD 80606b","MoM",23,CorrelatedDataProduct
8,402545,4,D41DB9E6A87C530AE043C616A9C3166F,38.28125,64,3051.7578125,2013-01-25 14:15:06,3808564,"L85569_SAP000_SB021_uv.MS","MoM","Correlator data",21600.0,2013-01-25 03:37:12,"AIPS++/CASA","L85569_SAP000_SB021_uv.MS_31a495bc.tar",,1.0,0,1,38.37890625,38.18359375,198667,"Target Obs. 1","MoM",2015-03-01 00:00:00,2013-01-24 21:37:12,196,"LofarStorageManager","2",198668,"HD 80606b","MoM",21,CorrelatedDataProduct
9,402545,4,D41DC9544EFA5397E043C616A9C37638,30.078125,64,3051.7578125,2013-01-25 14:19:25,3808543,"L85569_SAP000_SB000_uv.MS","MoM","Correlator data",21600.0,2013-01-25 03:37:12,"AIPS++/CASA","L85569_SAP000_SB000_uv.MS_e4e46b0e.tar",,1.0,0,1,30.17578125,29.98046875,198667,"Target Obs. 1","MoM",2015-03-01 00:00:00,2013-01-24 21:37:12,154,"LofarStorageManager","2",198668,"HD 80606b","MoM",0,CorrelatedDataProduct
10,402545,4,D41E2B94974D582DE043C616A9C3C212,53.515625,64,3051.7578125,2013-01-25 14:46:54,3808603,"L85569_SAP000_SB060_uv.MS","MoM","Correlator data",21600.0,2013-01-25 03:37:12,"AIPS++/CASA","L85569_SAP000_SB060_uv.MS_5ace91d2.tar",,1.0,0,1,53.61328125,53.41796875,198667,"Target Obs. 1","MoM",2015-03-01 00:00:00,2013-01-24 21:37:12,274,"LofarStorageManager","2",198668,"HD 80606b","MoM",60,CorrelatedDataProduct
