ROWNUM,project_id,+PRIVILEGES,object_id,creation_date,fileFormat,filename,filesize,hash_adler32,hash_md5,hash_type,hash_value,isValid,location,priority,protocol,URI,uriRanking,OBJECT_ID$
1,401551,3,C246FA8B6B2B55D0E043C616A9C33949,2012-06-12 15:05:36,,"L50508_SAP000_SB016_uv.MS_226592cc.tar",223518720,"2c71ec46","6488c046a8d9090c27b8104d2cc7fb40",,,1,"srm.grid.sara.nl",,"srm","srm://srm.grid.sara.nl:8443/pnfs/grid.sara.nl/data/lofar/ops/projects/msss/50508/L50508_SAP000_SB016_uv.MS_226592cc.tar",0,FileObject
2,401551,3,C246FA8B6B3455D0E043C616A9C33949,2012-06-12 15:06:09,,"L50508_SAP000_SB020_uv.MS_076d8995.tar",223518720,"c5b1e400","6157a2e6dc532e93a60cd5ea3e3eadc6",,,1,"srm.grid.sara.nl",,"srm","srm://srm.grid.sara.nl:8443/pnfs/grid.sara.nl/data/lofar/ops/projects/msss/50508/L50508_SAP000_SB020_uv.MS_076d8995.tar",0,FileObject
3,401551,3,C246FA8B6B3655D0E043C616A9C33949,2012-06-12 15:06:10,,"L50508_SAP000_SB021_uv.MS_57206eae.tar",223518720,"8f589389","2498a519f59220d631ac1ec7d0931e44",,,1,"srm.grid.sara.nl",,"srm","srm://srm.grid.sara.nl:8443/pnfs/grid.sara.nl/data/lofar/ops/projects/msss/50508/L50508_SAP000_SB021_uv.MS_57206eae.tar",0,FileObject
4,401551,3,C246FA8B6B3855D0E043C616A9C33949,2012-06-12 15:06:11,,"L50508_SAP000_SB022_uv.MS_ca26c9e6.tar",223518720,"cf16c6ff","385332e29e9c9280e9be6c2d6508c29a",,,1,"srm.grid.sara.nl",,"srm","srm://srm.grid.sara.nl:8443/pnfs/grid.sara.nl/data/lofar/ops/projects/msss/50508/L50508_SAP000_SB022_uv.MS_ca26c9e6.tar",0,FileObject
5,401551,3,C246FA8B6B3B55D0E043C616A9C33949,2012-06-12 15:06:14,,"L50508_SAP000_SB023_uv.MS_c2a8ecb3.tar",223518720,"87309cea","ae9a1154967cf6928bf06fe608905b03",,,1,"srm.grid.sara.nl",,"srm","srm://srm.grid.sara.nl:8443/pnfs/grid.sara.nl/data/lofar/ops/projects/msss/50508/L50508_SAP000_SB023_uv.MS_c2a8ecb3.tar",0,FileObject
6,401551,3,C246FA8B6B4555D0E043C616A9C33949,2012-06-12 15:06:53,,"L50508_SAP000_SB027_uv.MS_fd7e7f51.tar",223518720,"b6f1991f","feedd0c131282921b9c24bba84207ec8",,,1,"srm.grid.sara.nl",,"srm","srm://srm.grid.sara.nl:8443/pnfs/grid.sara.nl/data/lofar/ops/projects/msss/50508/L50508_SAP000_SB027_uv.MS_fd7e7f51.tar",0,FileObject
7,401551,3,C246FA8B6B4755D0E043C616A9C33949,2012-06-12 15:06:53,,"L50508_SAP000_SB025_uv.MS_bac52752.tar",223518720,"59f4b46d","18e5226220b01744019e6e4276e08b55",,,1,"srm.grid.sara.nl",,"srm","srm://srm.grid.sara.nl:8443/pnfs/grid.sara.nl/data/lofar/ops/projects/msss/50508/L50508_SAP000_SB025_uv.MS_bac52752.tar",0,FileObject
8,401551,3,C246FA8B6B4955D0E043C616A9C33949,2012-06-12 15:06:54,,"L50508_SAP000_SB024_uv.MS_135e63bf.tar",223518720,"b7d32993","5d752ca2f861f429de12e86358a7271d",,,1,"srm.grid.sara.nl",,"srm","srm://srm.grid.sara.nl:8443/pnfs/grid.sara.nl/data/lofar/ops/projects/msss/50508/L50508_SAP000_SB024_uv.MS_135e63bf.tar",0,FileObject
9,401551,3,C246FA8B6B4B55D0E043C616A9C33949,2012-06-12 15:06:55,,"L50508_SAP000_SB026_uv.MS_7c4c02e8.tar",223518720,"646d9595","ea8d6f3010a718c77c7141cf1c1dd005",,,1,"srm.grid.sara.nl",,"srm","srm://srm.grid.sara.nl:8443/pnfs/grid.sara.nl/data/lofar/ops/projects/msss/50508/L50508_SAP000_SB026_uv.MS_7c4c02e8.tar",0,FileObject
10,401551,3,C246FA8B6B5355D0E043C616A9C33949,2012-06-12 15:07:30,,"L50508_SAP000_SB028_uv.MS_d65553a6.tar",223518720,"e25eadb3","2bf36d9d239376a8d4cb0cab56e78e29",,,1,"srm.grid.sara.nl",,"srm","srm://srm.grid.sara.nl:8443/pnfs/grid.sara.nl/data/lofar/ops/projects/msss/50508/L50508_SAP000_SB028_uv.MS_d65553a6.tar",0,FileObject
