ROWNUM,project_id,+PRIVILEGES,object_id,stokes,OBJECT_ID$
1,402545,4,D585A6DED67B6AECE043C616A9C366D5,"I",PolarizationCoordinate
2,402545,4,D585AA4D8B5A6B2CE043C616A9C3A8ED,"I",PolarizationCoordinate
3,402545,4,D585B10F58F96B60E043C616A9C3399C,"I",PolarizationCoordinate
4,402545,4,D585B248FB506B83E043C616A9C3EA2C,"I",PolarizationCoordinate
5,402545,4,D585B52645BB6BAFE043C616A9C3CA71,"I",PolarizationCoordinate
6,402545,4,D585B6A4F3CC6BE3E043C616A9C3FFCE,"I",PolarizationCoordinate
7,402545,4,D585B7C5E57E6C08E043C616A9C3F103,"I",PolarizationCoordinate
8,402545,4,D585B8DDCDA86C34E043C616A9C3B13C,"I",PolarizationCoordinate
9,402545,4,D585B9F813A06C40E043C616A9C31662,"I",PolarizationCoordinate
10,402545,4,D585BB1493106C4EE043C616A9C37F5B,"I",PolarizationCoordinate
11,402545,4,D585BD3010706C86E043C616A9C312ED,"I",PolarizationCoordinate
12,402545,4,D585BE64A5F36C97E043C616A9C38A57,"I",PolarizationCoordinate
13,402545,4,D585C46E59BA6D24E043C616A9C31BDB,"I",PolarizationCoordinate
14,402545,4,D585D7672D3E7015E043C616A9C3CA51,"I",PolarizationCoordinate
15,402545,4,D585DFF4617270CAE043C616A9C39F93,"I",PolarizationCoordinate
16,402545,4,D7B4B23ABB6C321FE043C616A9C3E9F8,"I",PolarizationCoordinate
17,402545,4,D7B4B45C273332CAE043C616A9C3042E,"I",PolarizationCoordinate
18,402545,4,D7B4B4B7EDC832D4E043C616A9C34321,"I",PolarizationCoordinate
19,402545,4,D7B4B4EF1D6D32E4E043C616A9C3A470,"I",PolarizationCoordinate
20,402545,4,D7B4B5BD27EE331BE043C616A9C333BD,"I",PolarizationCoordinate
21,402545,4,D7B4B903409C33ECE043C616A9C313F7,"I",PolarizationCoordinate
22,402635,4,E1C09539EDA72646E043C616A9C3807D,"I",PolarizationCoordinate
23,402635,4,E1C0958401A82659E043C616A9C3C91C,"I",PolarizationCoordinate
24,402635,4,E1C0E212FA213E6DE043C616A9C31D88,"I",PolarizationCoordinate
25,402635,4,E1C0E345DF543EBBE043C616A9C3553F,"I",PolarizationCoordinate
