ROWNUM,project_id,+PRIVILEGES,object_id,creationDate,dataProductIdentifier,dataProductIdentifierName,dataProductIdentifierSource,dataProductType,fileFormat,filename,globalname,imagerIntegrationTime,isDirty,isValid,locationFrame,numberOfAxes,numberOfCoordinates,processIdentifier,processIdentifierName,processIdentifierSource,releaseDate,restoringBeamMajor,restoringBeamMinor,rmsNoise,storageWriter,storageWriterVersion,timeFrame,OBJECT_ID$
1,402545,4,D585A6DED6836AECE043C616A9C366D5,2013-02-12 11:39:07,3832670,"L85689_SBG011_sky.h5","MoM","Sky Image","AIPS++/CASA","L85689_SBG011_sky.h5_b1181e1c.tar",,0.0,0,1,"LSRK",4,3,198819,"Imaging Pipeline 0","MoM",2015-03-01 00:00:00,186.006835938,64.878112793,0.0360839407666,"CasaStorageManagers","unknown","UTC",SkyImageDataProduct
2,402545,4,D585AA4D8B626B2CE043C616A9C3A8ED,2013-02-12 11:40:05,3832664,"L85689_SBG005_sky.h5","MoM","Sky Image","AIPS++/CASA","L85689_SBG005_sky.h5_110dfdee.tar",,0.0,0,1,"LSRK",4,3,198819,"Imaging Pipeline 0","MoM",2015-03-01 00:00:00,99.4168701172,81.9647827148,0.0369279281168,"CasaStorageManagers","unknown","UTC",SkyImageDataProduct
3,402545,4,D585B10F59036B60E043C616A9C3399C,2013-02-12 11:41:21,3815440,"L85665_SBG002_sky.h5","MoM","Sky Image","AIPS++/CASA","L85665_SBG002_sky.h5_bfb7af28.tar",,0.0,0,1,"LSRK",4,3,198792,"Imaging Pipeline 0","MoM",2015-03-01 00:00:00,152.843841553,97.2283096313,0.050719433529,"CasaStorageManagers","unknown","UTC",SkyImageDataProduct
4,402545,4,D585B248FB586B83E043C616A9C3EA2C,2013-02-12 11:42:18,3832668,"L85689_SBG009_sky.h5","MoM","Sky Image","AIPS++/CASA","L85689_SBG009_sky.h5_ebc19150.tar",,0.0,0,1,"LSRK",4,3,198819,"Imaging Pipeline 0","MoM",2015-03-01 00:00:00,204.327056885,71.2612075806,0.0315361895289,"CasaStorageManagers","unknown","UTC",SkyImageDataProduct
5,402545,4,D585B52645C36BAFE043C616A9C3CA71,2013-02-12 11:43:07,3815446,"L85665_SBG008_sky.h5","MoM","Sky Image","AIPS++/CASA","L85665_SBG008_sky.h5_4be57a14.tar",,0.0,0,1,"LSRK",4,3,198792,"Imaging Pipeline 0","MoM",2015-03-01 00:00:00,87.5865097046,77.9253387451,0.0321222031856,"CasaStorageManagers","unknown","UTC",SkyImageDataProduct
6,402545,4,D585B6A4F3D46BE3E043C616A9C3FFCE,2013-02-12 11:43:32,3832660,"L85689_SBG001_sky.h5","MoM","Sky Image","AIPS++/CASA","L85689_SBG001_sky.h5_350b3ff4.tar",,0.0,0,1,"LSRK",4,3,198819,"Imaging Pipeline 0","MoM",2015-03-01 00:00:00,144.756774902,118.358360291,0.0733376981419,"CasaStorageManagers","unknown","UTC",SkyImageDataProduct
7,402545,4,D585B7C5E5866C08E043C616A9C3F103,2013-02-12 11:43:50,3815443,"L85665_SBG005_sky.h5","MoM","Sky Image","AIPS++/CASA","L85665_SBG005_sky.h5_253bcebb.tar",,0.0,0,1,"LSRK",4,3,198792,"Imaging Pipeline 0","MoM",2015-03-01 00:00:00,99.1775436401,81.8946914673,0.0367250659462,"CasaStorageManagers","unknown","UTC",SkyImageDataProduct
8,402545,4,D585B8DDCDB06C34E043C616A9C3B13C,2013-02-12 11:44:09,3815448,"L85665_SBG010_sky.h5","MoM","Sky Image","AIPS++/CASA","L85665_SBG010_sky.h5_4217f4b2.tar",,0.0,0,1,"LSRK",4,3,198792,"Imaging Pipeline 0","MoM",2015-03-01 00:00:00,79.9200057983,69.5245742798,0.0283859422734,"CasaStorageManagers","unknown","UTC",SkyImageDataProduct
9,402545,4,D585B9F813A86C40E043C616A9C31662,2013-02-12 11:44:27,3815444,"L85665_SBG006_sky.h5","MoM","Sky Image","AIPS++/CASA","L85665_SBG006_sky.h5_651dc2cf.tar",,0.0,0,1,"LSRK",4,3,198792,"Imaging Pipeline 0","MoM",2015-03-01 00:00:00,94.5449523926,75.7471389771,0.032390138835,"CasaStorageManagers","unknown","UTC",SkyImageDataProduct
10,402545,4,D585BB1493186C4EE043C616A9C37F5B,2013-02-12 11:44:46,3815441,"L85665_SBG003_sky.h5","MoM","Sky Image","AIPS++/CASA","L85665_SBG003_sky.h5_366ecb32.tar",,0.0,0,1,"LSRK",4,3,198792,"Imaging Pipeline 0","MoM",2015-03-01 00:00:00,138.198501587,87.9536895752,0.0430388632517,"CasaStorageManagers","unknown","UTC",SkyImageDataProduct
11,402545,4,D585BD3010786C86E043C616A9C312ED,2013-02-12 11:45:21,3815445,"L85665_SBG007_sky.h5","MoM","Sky Image","AIPS++/CASA","L85665_SBG007_sky.h5_85e6624c.tar",,0.0,0,1,"LSRK",4,3,198792,"Imaging Pipeline 0","MoM",2015-03-01 00:00:00,94.0230560303,83.5080947876,0.0363669986904,"CasaStorageManagers","unknown","UTC",SkyImageDataProduct
12,402545,4,D585BE64A5FB6C97E043C616A9C38A57,2013-02-12 11:45:42,3815449,"L85665_SBG011_sky.h5","MoM","Sky Image","AIPS++/CASA","L85665_SBG011_sky.h5_7574bfc1.tar",,0.0,0,1,"LSRK",4,3,198792,"Imaging Pipeline 0","MoM",2015-03-01 00:00:00,75.4525604248,65.4447174072,0.0341512605002,"CasaStorageManagers","unknown","UTC",SkyImageDataProduct
13,402545,4,D585C46E59C26D24E043C616A9C31BDB,2013-02-12 11:47:23,3815442,"L85665_SBG004_sky.h5","MoM","Sky Image","AIPS++/CASA","L85665_SBG004_sky.h5_0e6ac2e0.tar",,0.0,0,1,"LSRK",4,3,198792,"Imaging Pipeline 0","MoM",2015-03-01 00:00:00,126.54863739,80.6308670044,0.0355330501963,"CasaStorageManagers","unknown","UTC",SkyImageDataProduct
14,402545,4,D585D7672D467015E043C616A9C3CA51,2013-02-12 11:52:41,3815447,"L85665_SBG009_sky.h5","MoM","Sky Image","AIPS++/CASA","L85665_SBG009_sky.h5_f53fda58.tar",,0.0,0,1,"LSRK",4,3,198792,"Imaging Pipeline 0","MoM",2015-03-01 00:00:00,83.9234542847,72.8380508423,0.0292333686692,"CasaStorageManagers","unknown","UTC",SkyImageDataProduct
15,402545,4,D585DFF4617A70CAE043C616A9C39F93,2013-02-12 11:55:05,3815439,"L85665_SBG001_sky.h5","MoM","Sky Image","AIPS++/CASA","L85665_SBG001_sky.h5_c6680bb2.tar",,0.0,0,1,"LSRK",4,3,198792,"Imaging Pipeline 0","MoM",2015-03-01 00:00:00,169.904571533,107.651367188,0.0575763759063,"CasaStorageManagers","unknown","UTC",SkyImageDataProduct
16,402545,4,D651AF2ED5584742E043C616A9C3F7F6,2013-02-22 15:04:27,3832666,"L85689_SBG007_sky.h5","MoM","Sky Image","AIPS++/CASA","L85689_SBG007_sky_d1bdbf1c.h5",,0.0,0,1,"LSRK",4,3,198819,"Imaging Pipeline 0","MoM",2015-03-01 00:00:00,94.6361541748,80.7889785767,0.0347465713237,"CasaStorageManagers","unknown","UTC",SkyImageDataProduct
17,402545,4,D651B01577EE4775E043C616A9C3B494,2013-02-22 15:04:40,3832669,"L85689_SBG010_sky.h5","MoM","Sky Image","AIPS++/CASA","L85689_SBG010_sky_a9073075.h5",,0.0,0,1,"LSRK",4,3,198819,"Imaging Pipeline 0","MoM",2015-03-01 00:00:00,79.9155197144,69.9133224487,0.0284992461523,"CasaStorageManagers","unknown","UTC",SkyImageDataProduct
18,402545,4,D7B34CDA509A6616E043C616A9C35D59,2013-03-12 04:58:15,3815438,"L85665_SBG000_sky.h5","MoM","Sky Image","AIPS++/CASA","L85665_SBG000_sky_f4676ca5.h5",,0.0,0,1,"LSRK",4,3,198792,"Imaging Pipeline 0","MoM",2015-03-01 00:00:00,190.911849976,121.393608093,0.0761923450059,"CasaStorageManagers","unknown","UTC",SkyImageDataProduct
