ROWNUM,project_id,+PRIVILEGES,object_id,antennaSet,channelsPerSubband,channelWidth,clock,creationDate,duration,endTime,instrumentFilter,isValid,nrStationsCore,nrStationsInternational,nrStationsRemote,numberOfBeamFormedDataProducts,numberOfBitsPerSample,numberOfCorrelatedDataProducts,numberOfStations,numberOfSubArrayPointings,numberOfTransientBufferBoardEv,observationDescription,observationId,observationIdSource,observingMode,processIdentifier,processIdentifierName,processIdentifierSource,releaseDate,startTime,stationSelection,strategyDescription,strategyName,timeSystem,OBJECT_ID$
1,402630,4,D5CE6884F7413029E043C616A9C3F9B5,"HBA Dual Inner",64,0.0030517578125,200.0,2013-02-16 02:27:26,0.0,2013-02-03 20:52:02,"110-190 MHz",1,24,0,13,0,8,324,37,1,-1,"Calibrator observation 43","86646","SAS","Interferometer",203335,"Calibrator Obs. 43","MoM",2015-03-01 00:00:00,2013-02-03 20:52:02,"Custom","default","Interferometer","UTC",Observation
2,402709,4,D6E6D2C2CA890141E043C616A9C32525,"HBA Dual Inner",64,0.0030517578125,200.0,2013-03-02 01:01:17,0.0,2013-02-10 17:30:07,"110-190 MHz",1,23,0,13,0,16,244,36,7,-1,"P37_No/BEAM0/1/TO (Target Observation)","89571","SAS","Interferometer",207203,"P37_No/BEAM0/1/TO","MoM",2015-05-02 00:00:00,2013-02-10 17:30:07,"Custom","default","Interferometer","UTC",Observation
3,402790,4,D903F6281BFD6549E043C616A9C347BD,"HBA Joined",64,0.0030517578125,200.0,2013-03-28 22:37:22,0.0,2013-03-20 16:13:39,"110-190 MHz",1,23,8,13,0,8,486,44,3,-1,"M82/1/TO (Target Observation)","106106","SAS","Interferometer",227488,"M82/1/TO","MoM",2015-03-01 00:00:00,2013-03-20 16:13:39,"Custom","default","Interferometer","UTC",Observation
4,402790,4,D9066037E17A0D1EE043C616A9C31690,"HBA Joined",64,0.0030517578125,200.0,2013-03-29 01:30:11,0.0,2013-03-20 17:14:40,"110-190 MHz",1,23,8,13,0,8,162,44,1,-1,"3C196/2/CO (Calibration Observation)","106105","SAS","Interferometer",227495,"3C196/2/CO","MoM",2015-03-01 00:00:00,2013-03-20 17:14:40,"Custom","default","Interferometer","UTC",Observation
5,402790,4,D908BDFD313A3BDAE043C616A9C30F7D,"HBA Joined",64,0.0030517578125,200.0,2013-03-29 04:19:34,0.0,2013-03-20 18:18:40,"110-190 MHz",1,23,8,13,0,8,162,44,1,-1,"3C196/3/CO (Calibration Observation)","106103","SAS","Interferometer",227505,"3C196/3/CO","MoM",2015-03-01 00:00:00,2013-03-20 18:18:40,"Custom","default","Interferometer","UTC",Observation
6,402790,4,D90AEF12ED6E6673E043C616A9C3B6BF,"HBA Joined",64,0.0030517578125,200.0,2013-03-29 06:56:27,0.0,2013-03-20 19:22:40,"110-190 MHz",1,23,8,13,0,8,162,44,1,-1,"3C196/4/CO (Calibration Observation)","106101","SAS","Interferometer",227515,"3C196/4/CO","MoM",2015-03-01 00:00:00,2013-03-20 19:22:40,"Custom","default","Interferometer","UTC",Observation
7,402790,4,D90B290EC0616E8AE043C616A9C3A9EB,"HBA Joined",64,0.0030517578125,200.0,2013-03-29 07:12:40,0.0,2013-03-20 19:25:40,"110-190 MHz",1,23,8,13,0,8,486,44,3,-1,"M82/4/TO (Target Observation)","106100","SAS","Interferometer",227518,"M82/4/TO","MoM",2015-03-01 00:00:00,2013-03-20 19:25:40,"Custom","default","Interferometer","UTC",Observation
8,402790,4,D90F1206ADDB3B84E043C616A9C3EC87,"HBA Joined",64,0.0030517578125,200.0,2013-03-29 11:52:34,0.0,2013-03-20 21:30:40,"110-190 MHz",1,23,8,13,0,8,162,44,1,-1,"3C196/6/CO (Calibration Observation)","106097","SAS","Interferometer",227535,"3C196/6/CO","MoM",2015-03-01 00:00:00,2013-03-20 21:30:40,"Custom","default","Interferometer","UTC",Observation
9,402790,4,D90F38328A6042B1E043C616A9C3D046,"HBA Joined",64,0.0030517578125,200.0,2013-03-29 12:03:14,0.0,2013-03-20 21:33:40,"110-190 MHz",1,23,8,13,0,8,486,44,3,-1,"M82/6/TO (Target Observation)","106096","SAS","Interferometer",227538,"M82/6/TO","MoM",2015-03-01 00:00:00,2013-03-20 21:33:40,"Custom","default","Interferometer","UTC",Observation
10,402790,4,D9131B4F172A0DF7E043C616A9C36C32,"HBA Joined",64,0.0030517578125,200.0,2013-03-29 16:41:29,0.0,2013-03-20 23:38:40,"110-190 MHz",1,23,8,13,0,8,162,44,1,-1,"3C196/8/CO (Calibration Observation)","106093","SAS","Interferometer",227555,"3C196/8/CO","MoM",2015-03-01 00:00:00,2013-03-20 23:38:40,"Custom","default","Interferometer","UTC",Observation
