ROWNUM,project_id,+PRIVILEGES,object_id,identifier,identifierName,identifierSource,relationType,OBJECT_ID$
1,404119,4,1A34A94F7BE45739E053C016A9C3B12D,528454,"ELAIS-RUN14","MoM","GroupID",ProcessRelation
2,404119,4,1A38DBC48A7027A6E053C416A9C33A75,528464,"3C380","MoM","GroupID",ProcessRelation
3,403103,4,1A44DFC63F226EC5E053C416A9C31DE8,328348,"EoR-NCP-2013-12-05","MoM","GroupID",ProcessRelation
4,403103,4,1A44E4B1B54C3915E053C016A9C349B4,338124,"EoR-NCP-2013-12-23","MoM","GroupID",ProcessRelation
5,403103,4,1A44EA12482939CCE053C016A9C30386,357607,"EoR-NCP-2014-02-10","MoM","GroupID",ProcessRelation
6,403103,4,1A44EF227D25720BE053C416A9C39BBF,357633,"EoR-NCP-2014-02-22","MoM","GroupID",ProcessRelation
7,403103,4,1A44F1C750F63ABCE053C016A9C3A658,363852,"EoR-NCP-2014-03-06","MoM","GroupID",ProcessRelation
8,403103,4,1A44F4763D413B48E053C016A9C35EE3,363865,"EoR-NCP-2014-03-09","MoM","GroupID",ProcessRelation
9,404184,4,1A5B9E4EBEA528A1E053C016A9C34A29,530347,"20150706_V404Cyg","MoM","GroupID",ProcessRelation
10,403981,4,1A65BA8F3F9E417AE053C016A9C3A70B,530409,"LBA_INNER","MoM","GroupID",ProcessRelation
11,403981,4,1A65E9E107CD4EBCE053C016A9C31176,530415,"LBA_SPARSE","MoM","GroupID",ProcessRelation
12,403981,4,1A661A634BB05C27E053C016A9C3ADE9,530421,"LBA_OUTER","MoM","GroupID",ProcessRelation
13,403981,4,1A667E9CED4B79A5E053C016A9C3F3F7,530433,"LBA_SPARSE","MoM","GroupID",ProcessRelation
14,403981,4,1A67586F4AE928B3E053C016A9C357CD,530445,"LBA_INNER","MoM","GroupID",ProcessRelation
15,403981,4,1A682FC6BC714913E053C016A9C34920,530451,"LBA_SPARSE","MoM","GroupID",ProcessRelation
16,403981,4,1A6BD95857F85E21E053C416A9C363DA,530469,"LBA_SPARSE","MoM","GroupID",ProcessRelation
17,403981,4,1A6D22ADE00017F5E053C416A9C38B8B,530475,"LBA_OUTER","MoM","GroupID",ProcessRelation
18,403981,4,1A6D971BBEC7330BE053C416A9C3DAC6,530481,"LBA_INNER","MoM","GroupID",ProcessRelation
19,403981,4,1A6E852F02A946D1E053C016A9C3E634,530493,"LBA_OUTER","MoM","GroupID",ProcessRelation
20,403981,4,1A6EECAAF92B5969E053C016A9C30D4D,530499,"LBA_INNER","MoM","GroupID",ProcessRelation
21,403981,4,1A6F1FD49558169CE053C416A9C3C9FF,530505,"LBA_SPARSE","MoM","GroupID",ProcessRelation
22,403981,4,1A6F98BEF5643F11E053C416A9C37FF2,530517,"LBA_INNER","MoM","GroupID",ProcessRelation
23,403981,4,1A6FEA3BC5F35465E053C416A9C3C119,530523,"LBA_SPARSE","MoM","GroupID",ProcessRelation
24,403981,4,1A701968471127FBE053C016A9C386B2,530529,"LBA_OUTER","MoM","GroupID",ProcessRelation
25,403981,4,1A704B067F3F34C9E053C016A9C3EA79,530535,"LBA_INNER","MoM","GroupID",ProcessRelation
