ROWNUM,project_id,+PRIVILEGES,object_id,creationDate,dataProductIdentifier,dataProductIdentifierName,dataProductIdentifierSource,dataProductType,dataType,fileFormat,filename,globalname,isDirty,isValid,processIdentifier,processIdentifierName,processIdentifierSource,releaseDate,storageWriter,storageWriterVersion,OBJECT_ID$
1,403608,4,08C62B13DF2A5EF0E053C416A9C395A1,2014-11-26 17:05:54,13360122,"L250778_summaryCV.tar.gz","MoM","Pulsar pipeline output","SummaryComplexVoltages","PULP","L250778_summaryCV.tar_a39e18f3.gz",,256,1,445645,"J0417+35/PULP","MoM",2015-12-03 00:00:00,"unknown","unknown",PulpSummaryDataProduct
2,403837,4,08CC938252202163E053C416A9C3623A,2014-11-27 00:44:35,13670245,"L253078_summaryCS.tar.gz","MoM","Pulsar pipeline output","SummaryCoherentStokes","PULP","L253078_summaryCS.tar_15366150.gz",,256,1,449426,"LOTAAS-P0547A/PULP","MoM",2016-05-15 00:00:00,"unknown","unknown",PulpSummaryDataProduct
3,403612,4,08EDBAA425CE1802E053C416A9C305F3,2014-11-28 16:18:02,13668452,"L251346_summaryCV.tar.gz","MoM","Pulsar pipeline output","SummaryComplexVoltages","PULP","L251346_summaryCV.tar_43fc5d3f.gz",,256,1,446109,"B0950+08/PULP","MoM",2015-11-28 00:00:00,"unknown","unknown",PulpSummaryDataProduct
4,403640,4,09F0A02AD8C2266FE053C016A9C3FA0B,2014-12-11 13:10:35,13709063,"L253043_summaryCV.tar.gz","MoM","Pulsar pipeline output","SummaryComplexVoltages","PULP","L253043_summaryCV.tar_dc0864ff.gz",,256,1,449390,"J2051-0827/1/PP_4","MoM",2015-12-09 00:00:00,"unknown","unknown",PulpSummaryDataProduct
5,403608,4,0C3A7A44CD04144EE053C016A9C3AD84,2015-01-09 16:05:08,13837622,"L250794_summaryCV.tar.gz","MoM","Pulsar pipeline output","SummaryComplexVoltages","PULP","L250794_summaryCV.tar_c67a9abf.gz",,256,1,445669,"J0947+27/PULP","MoM",2015-12-03 00:00:00,"unknown","unknown",PulpSummaryDataProduct
6,403559,4,0C9DEDCB1E4619E3E053C016A9C3CE91,2015-01-14 14:44:13,13786606,"L250954_summaryCV.tar.gz","MoM","Pulsar pipeline output","SummaryComplexVoltages","PULP","L250954_summaryCV.tar_77e8b775.gz",,256,1,445741,"J0931-19/PULP","MoM",2016-05-15 00:00:00,"unknown","unknown",PulpSummaryDataProduct
7,403559,4,0E22919160DD7024E053C016A9C3D519,2015-02-02 22:24:29,13903746,"L257497_summaryCS.tar.gz","MoM","Pulsar pipeline output","SummaryCoherentStokes","PULP","L257497_summaryCS.tar_68bb493d.gz",,256,1,454678,"J1628+4406/PULP","MoM",2016-05-15 00:00:00,"unknown","unknown",PulpSummaryDataProduct
8,403923,4,0E7462D8F92A4F3FE053C016A9C3FCF5,2015-02-07 00:01:16,14024049,"L258699_summaryCV.tar.gz","MoM","Pulsar pipeline output","SummaryComplexVoltages","PULP","L258699_summaryCV.tar_8e268848.gz",,256,1,455931,"J2051-0827/PULP","MoM",2016-05-15 00:00:00,"unknown","unknown",PulpSummaryDataProduct
9,403640,4,0F75078513625502E053C016A9C35F38,2015-02-19 18:12:42,14084342,"L248951_summaryCV.tar.gz","MoM","Pulsar pipeline output","SummaryComplexVoltages","PULP","L248951_summaryCV.tar_7282f0ac.gz",,258,1,437623,"J1816+4510/PP/6","MoM",2015-12-09 00:00:00,"unknown","unknown",PulpSummaryDataProduct
10,403640,4,0F770FAF79E3700DE053C016A9C368B6,2015-02-19 20:38:09,14079509,"L248929_summaryCV.tar.gz","MoM","Pulsar pipeline output","SummaryComplexVoltages","PULP","L248929_summaryCV.tar_3b3dfe29.gz",,258,1,437690,"J1816+4510/PP/17","MoM",2015-12-09 00:00:00,"unknown","unknown",PulpSummaryDataProduct
11,403837,4,1773FB3D3B27154AE053C016A9C36D40,2015-06-01 13:21:18,15721972,"L343160_summaryIS.tar","MoM","Pulsar pipeline output","SummaryIncoherentStokes","PULP","L343160_summaryIS_ea80a998.tar",,256,1,518509,"J0932+05/PULP","MoM",2016-05-15 00:00:00,"unknown","unknown",PulpSummaryDataProduct
12,404141,4,1B7D48C8AA623940E053C016A9C378D6,2015-07-22 22:08:08,16275387,"L351736_summaryCV.tar","MoM","Pulsar pipeline output","SummaryComplexVoltages","PULP","L351736_summaryCV_9fb9fa42.tar",,0,1,529186,"B1855+09/PULP","MoM",2016-11-15 00:00:00,"unknown","unknown",PulpSummaryDataProduct
13,404141,4,1B7EB2192DFB6658E053C016A9C313F3,2015-07-22 23:49:09,16275820,"L348424_summaryCV.tar","MoM","Pulsar pipeline output","SummaryComplexVoltages","PULP","L348424_summaryCV_433f3870.tar",,0,1,529277,"B0809+74/PULP","MoM",2016-11-15 00:00:00,"unknown","unknown",PulpSummaryDataProduct
14,404141,4,1B7EBF31F4FF6978E053C016A9C34432,2015-07-22 23:52:49,16275366,"L348440_summaryCV.tar","MoM","Pulsar pipeline output","SummaryComplexVoltages","PULP","L348440_summaryCV_befb4a74.tar",,0,1,529289,"B0950+08/PULP","MoM",2016-11-15 00:00:00,"unknown","unknown",PulpSummaryDataProduct
15,404141,4,1B7ED17226406E9EE053C016A9C35CB6,2015-07-22 23:57:55,16275493,"L348464_summaryCV.tar","MoM","Pulsar pipeline output","SummaryComplexVoltages","PULP","L348464_summaryCV_bd1535f2.tar",,0,1,529307,"B1237+25/PULP","MoM",2016-11-15 00:00:00,"unknown","unknown",PulpSummaryDataProduct
16,404139,4,1F5DE5C0F4603E4FE053C416A9C3B0A2,2015-09-10 06:22:52,16848232,"L368946_summaryCS.tar","MoM","Pulsar pipeline output","SummaryCoherentStokes","PULP","L368946_summaryCS_6f1a7a33.tar",,0,1,576898,"LOTAAS-P0155A/PULP","MoM",2016-11-15 00:00:00,"unknown","unknown",PulpSummaryDataProduct
17,404139,4,218A5A95A05A7573E053C416A9C366B9,2015-10-07 22:15:39,16977948,"L369676_summaryCS.tar","MoM","Pulsar pipeline output","SummaryCoherentStokes","PULP","L369676_summaryCS_b52a119e.tar",,0,1,577501,"J1850+73/PULP","MoM",2016-11-15 00:00:00,"unknown","unknown",PulpSummaryDataProduct
18,404141,4,21F2572B1B3C3EB7E053C416A9C3F9E0,2015-10-13 02:19:19,17245448,"L396845_summaryCV.tar","MoM","Pulsar pipeline output","SummaryComplexVoltages","PULP","L396845_summaryCV_0f53770d.tar",,0,1,583725,"B0943+10/PULP","MoM",2016-11-15 00:00:00,"unknown","unknown",PulpSummaryDataProduct
