ROWNUM,project_id,+PRIVILEGES,object_id,channelsPerSubband,channelWidth,integrationInterval,processingType,OBJECT_ID$
1,402583,4,D4A749EB035A57A8E043C616A9C32829,64,0.003052,1.0,"Correlator",Correlator
2,402583,4,D4A749EB035D57A8E043C616A9C32829,64,0.003052,1.0,"Correlator",Correlator
3,402581,4,D4A91B41B91C741BE043C616A9C3CD16,128,0.001526,2.0,"Correlator",Correlator
4,402581,4,D4A91B41B91F741BE043C616A9C3CD16,128,0.001526,2.0,"Correlator",Correlator
5,402541,4,D4097EB5F2852D29E043C616A9C3DAC9,64,0.003052,2.0,"Correlator",Correlator
6,402541,4,D4097EB5F2882D29E043C616A9C3DAC9,64,0.003052,2.0,"Correlator",Correlator
7,402541,4,D4097EB5F28B2D29E043C616A9C3DAC9,64,0.003052,2.0,"Correlator",Correlator
8,402545,4,D46A9B52C2860CC0E043C616A9C34F4D,64,0.003052,1.0,"Correlator",Correlator
9,402545,4,D46A9B52C2890CC0E043C616A9C34F4D,64,0.003052,1.0,"Correlator",Correlator
10,402545,4,D42E9F544432740CE043C616A9C36375,64,0.003052,1.0,"Correlator",Correlator
11,402545,4,D42E9F544435740CE043C616A9C36375,64,0.003052,1.0,"Correlator",Correlator
12,402545,4,D456420D0EE56678E043C616A9C3C0A2,64,0.003052,1.0,"Correlator",Correlator
13,402545,4,D456420D0EE86678E043C616A9C3C0A2,64,0.003052,1.0,"Correlator",Correlator
14,402545,4,D41D55A724544E94E043C616A9C38ED6,64,0.003052,1.0,"Correlator",Correlator
15,402545,4,D41D55A724574E94E043C616A9C38ED6,64,0.003052,1.0,"Correlator",Correlator
16,402632,4,D4E81867038F7BD3E043C616A9C36750,64,0.003052,1.0,"Correlator",Correlator
17,402632,4,D4E8A54C5F8307BAE043C616A9C39778,64,0.003052,1.0,"Correlator",Correlator
18,402632,4,D4E8A54C5F8607BAE043C616A9C39778,64,0.003052,1.0,"Correlator",Correlator
19,402583,4,D4F71735CE1D446CE043C616A9C3D8EB,64,0.003052,1.0,"Correlator",Correlator
20,402583,4,D4F978F187560986E043C616A9C32320,64,0.003052,1.0,"Correlator",Correlator
21,402583,4,D4F998C2F8210EF2E043C616A9C3E93E,64,0.003052,1.0,"Correlator",Correlator
22,402583,4,D4F9C4F4DF971603E043C616A9C3C09A,64,0.003052,1.0,"Correlator",Correlator
23,402632,4,D4F21AF0766D77DBE043C616A9C306DC,64,0.003052,1.0,"Correlator",Correlator
24,402583,4,D4F9F963AEF320A5E043C616A9C38433,64,0.003052,1.0,"Correlator",Correlator
25,402583,4,D4FA6685D7C52E5EE043C616A9C354BE,64,0.003052,1.0,"Correlator",Correlator
